시도,행정구,학교급,학교명,주소,x_coord,y_coord
경기,수원시,고등학교,수원칠보고등학교,경기도 수원시 권선구 금곡로 127(금곡동),126.94496,37.27514
경기,수원시,고등학교,율천고등학교,경기도 수원시 팔달구 일월로 50(화서동. 율천고등학교),126.97888,37.28783
경기,수원시,고등학교,경기대명고등학교,경기도 수원시 권선구 수인로598번길 3-24. 경기대명고등학교 (당수동),126.93998,37.29602
경기,수원시,고등학교,고색고등학교,경기도 수원시 권선구 서둔로17번길 32(고색동. 고색고등학교),126.98235,37.25385
경기,수원시,고등학교,광교고등학교,경기도 수원시 영통구 도청로89번길 11(이의동),127.04855,37.28971
경기,수원시,고등학교,권선고등학교,경기도 수원시 권선구 세권로 276(권선동.권선고등학교),127.03337,37.25278
경기,수원시,고등학교,대평고등학교,경기도 수원시 장안구 천천로22번길 21(정자동. 대평고등학교),126.98813,37.29536
경기,수원시,고등학교,망포고등학교,경기도 수원시 영통구 동탄지성로 468(망포동),127.04644,37.23380
경기,수원시,고등학교,매원고등학교,경기도 수원시 영통구 삼성로213번길 120(매탄동),127.05453,37.26565
경기,수원시,고등학교,매탄고등학교,경기도 수원시 영통구 매탄로126번길 11(매탄동.매탄고등학교),127.04478,37.26263
경기,수원시,고등학교,수성고등학교,경기도 수원시 장안구 장안로90번길 39(정자동. 수성고등학교),127.00266,37.29361
경기,수원시,고등학교,수원여자고등학교,경기도 수원시 팔달구 고등로59번길 72(고등동. 수원여자고등학교),127.00436,37.27684
경기,수원시,고등학교,수일고등학교,경기도 수원시 장안구 수일로233번길 59(조원동),127.01805,37.30772
경기,수원시,고등학교,숙지고등학교,경기도 수원시 팔달구 수성로182번길 100(화서동.숙지고등학교),126.99330,37.28297
경기,수원시,고등학교,영덕고등학교,경기도 수원시 영통구 매영로 334(영통동.영덕고등학교),127.06847,37.25242
경기,수원시,고등학교,장안고등학교,경기도 수원시 장안구 대평로52번길 12(정자동.장안고등학교),126.99559,37.29312
경기,수원시,고등학교,조원고등학교,경기도 수원시 장안구 수일로233번길 15. 조원고등학교 (조원동),127.01567,37.30734
경기,수원시,고등학교,천천고등학교,경기도 수원시 장안구 정자로42번길 31(천천동. 천천고등학교),126.98298,37.29943
경기,수원시,고등학교,청명고등학교,경기도 수원시 영통구 영통로 466(영통동),127.07732,37.26089
경기,수원시,고등학교,태장고등학교,경기도 수원시 영통구 영통로 250(영통동. 태장고등학교),127.05943,37.24937
경기,수원시,고등학교,화홍고등학교,경기도 수원시 권선구 세권로 331(권선동. 화홍고등학교),127.04024,37.25206
경기,수원시,고등학교,효원고등학교,경기도 수원시 영통구 동수원로 336. 효원고등학교 (매탄동),127.03905,37.25942
경기,수원시,고등학교,동우여자고등학교,경기도 수원시 장안구 장안로 426-1. 동우여자고등학교 (이목동),126.98240,37.31982
경기,수원시,고등학교,동원고등학교,경기도 수원시 장안구 장안로 426-1. 동원고등학교 (이목동),126.98240,37.31982
경기,수원시,고등학교,곡정고등학교,경기도 수원시 권선구 덕영대로 1190번길 130. (권선동. 곡정고등학교),127.02015,37.24384
경기,수원시,고등학교,수원고등학교,경기도 수원시 팔달구 정조로 666-10(매교동),127.01741,37.26713
경기,수원시,고등학교,호매실고등학교,경기도 수원시 권선구 칠보로 142-1(호매실동),126.95534,37.26493
경기,수원시,고등학교,영복여자고등학교,경기도 수원시 팔달구 장안로7번길 49-1. 영복여자고등학교 (화서동),127.00167,37.28562
경기,수원시,고등학교,영생고등학교,경기도 수원시 장안구 서부로2198번길 22. 영생고등학교 (천천동),126.97424,37.30473
경기,수원시,고등학교,영신여자고등학교,경기도 수원시 권선구 삼천병마로1566번길 30영신여자고등학교 (오목천동),126.96630,37.24241
경기,수원시,고등학교,유신고등학교,경기도 수원시 팔달구 월드컵로 216(우만동.유신고등학교),127.04135,37.28243
경기,수원시,고등학교,창현고등학교,경기도 수원시 팔달구 월드컵로 216-1. 창현고등학교 (우만동),127.04186,37.28491
경기,수원시,고등학교,이의고등학교,경기도 수원시 영통구 법조로 145. 이의고등학교 (하동),127.07119,37.29236
경기,수원시,고등학교,경기체육고등학교,경기도 수원시 장안구 상률로 106. 경기체육고등학교 (천천동),126.97853,37.30396
